appid,voted_up,votes_up,weighted_vote_score,author_playtime_forever
3220,True,33,0.74126201868057251,2812
3220,True,0,0.5,1112
3220,False,20,0.458564907312393188,15
3220,True,0,0.5,13037
3220,True,7,0.540778219699859619,2365
3220,True,0,0.5,40
3220,True,4,0.321880489587783813,6
3220,False,2,0.34680899977684021,45
3220,False,7,0.289753884077072144,246
3220,True,20,0.455961644649505615,10718
3220,True,3,0.370833098888397217,2576
3220,True,2,0.480822384357452393,244
3220,False,4,0.308049380779266357,236
10195,True,4,0.536042928695678711,0
10195,True,15,0.480703830718994141,0
34500,True,5,0.51878732442855835,5216
34500,True,7,0.503264546394348145,110
34500,False,3,0.217634811997413635,163
34500,True,6,0.497507274150848389,2773
37290,False,6,0.551821529865264893,13
37290,True,4,0.582767665386199951,42
48900,True,0,0.5,400
48900,True,0,0.495903283357620239,368
48900,True,0,0.5,378
48900,False,0,0.5,51
48900,True,0,0.5,895
94000,False,258,0.834773063659667969,40
94000,False,16,0.633560419082641602,33
94000,False,14,0.596858859062194824,24
94000,False,7,0.569352209568023682,22
94000,False,3,0.565217375755310059,97
94000,False,0,0.5,22
94000,False,2,0.548872172832489014,26
94000,False,6,0.54687654972076416,22
94000,False,46,0.641409635543823242,42
94000,False,9,0.586823165416717529,23
94000,False,2,0.53142857551574707,20
94000,False,3,0.520837366580963135,26
94000,True,1,0.505599141120910645,45
94000,True,1,0.502487540245056152,45
105415,True,0,0.5,0
207210,False,25,0.616128504276275635,141
207210,True,29,0.618970930576324463,525
207210,False,61,0.581312477588653564,900
207210,True,1,0.523809552192687988,5420
207210,True,45,0.650071084499359131,4609
207210,True,0,0.5,773
207210,True,0,0.5,304
212041,True,6,0.571436464786529541,0
216390,False,79,0.76702427864074707,1286
216390,True,24,0.700095951557159424,1593
216390,True,30,0.670932412147521973,568
216390,True,28,0.687243878841400146,1231
216390,False,93,0.605236411094665527,22057
216390,False,9,0.630688965320587158,3967
216390,True,3,0.570847749710083008,660
216390,True,4,0.568759441375732422,7077
216390,False,3,0.518495261669158936,865
216390,False,0,0.5,1092
216390,True,0,0.5,1911
216390,False,2,0.547325074672698975,752
216390,True,3,0.546485304832458496,1426
216390,True,5,0.544371843338012695,2919
216390,False,4,0.530213356018066406,85
216390,True,1,0.517366349697113037,2556
216390,True,4,0.507079482078552246,3323
216390,True,1,0.502487540245056152,3062
216390,True,2,0.501223504543304443,2362
216390,False,0,0.5,7878
216390,False,0,0.5,3486
216390,False,0,0.5,4393
216390,True,0,0.5,7175
216390,True,0,0.539709746837615967,12207
216390,True,0,0.5,2406
216390,True,0,0.5,1798
216390,True,0,0.5,3860
216390,True,0,0.5,2077
216390,False,0,0.5,68
216390,True,0,0.5,4970
216390,True,0,0.5,453
216390,True,0,0.5,2348
216390,True,0,0.5,131
216390,True,0,0.5,1538
216390,True,0,0.5,491
216390,True,0,0.5,1086
216390,True,0,0.5,1826
216390,True,0,0.5,1535
216390,False,0,0.497702896595001221,280
216390,True,6,0.496877819299697876,721
216390,True,3,0.544607758522033691,1437
216390,True,3,0.540159702301025391,2426
216390,True,0,0.478339344263076782,1620
216390,True,3,0.469121158123016357,2527
216390,True,1,0.518072307109832764,26190
220050,False,284,0.79568183422088623,6327
220050,False,198,0.680242002010345459,772
220050,False,22,0.612790822982788086,630
220050,False,562,0.738376855850219727,940
220050,False,15,0.540308356285095215,827
220050,False,12,0.538257777690887451,200
220050,False,10,0.475727826356887817,332
220050,False,3,0.523809552192687988,456
220050,False,7,0.515590012073516846,359
222587,True,21,0.718956530094146729,0
222587,True,3,0.5,0
226991,True,2,0.516066193580627441,0
234530,True,114,0.610455036163330078,21295
234530,False,12,0.529593706130981445,1492
234530,True,8,0.557866156101226807,8250
234530,True,2,0.492502748966217041,147
234530,True,24,0.590185642242431641,502
234530,True,22,0.584886729717254639,1618
237450,True,235,0.721305787563323975,0
